collegeName
aazad college of education (id: c-39230)
abhinav institute of management & technology (id: c-39450)
abhyudaya mahila degree college (id: c-32630)
a.b.m. college (id: c-32735)
a.b.r college of education (id: c-39231)
a.c.college (day) (id: c-32762)
a.c.college of law (id: c-32792)
a.c.evening college (id: c-32720)
acharya n.g.ranga college of education (id: c-32793)
adarsa college of education (id: c-32801)
adarsa degree college for women (id: c-32733)
a.g.k.m.college (id: c-32664)
a.l.college of education (id: c-32711)
ali college of education (id: c-39243)
al momin college of education (id: c-39261)
alpha college of education (id: c-39238)
alpha college of education, kanigiri (id: c-44489)
alpha degree college (id: c-32797)
aman showkath b.ed college (id: c-39227)
a.m.g.college of education (id: c-32649)
a.m.g.degree college for women (id: c-32769)
a.m reddy college of education (id: c-37211)
a.m. reddy memorial college of pharmacy (id: c-39491)
amrutha college of education (id: c-39232)
amrutha degree college (id: c-44105)
andhra kesari college of education (id: c-39275)
andhra kesari vidya kendram degree college (id: c-32631)
andhra muslim college (id: c-32727)
andhra muslim college of education (id: c-36923)
anitha venkateswara college of eduation (id: c-39241)
annabattuni satyanarayana degree college (id: c-32656)
anniebesant college of education (id: c-32740)
anu pg campus ongole (id: c-32629)
a.p.residential degree college (id: c-32778)
asha college of education (id: c-39244)
a.s.m & a.w. d women's degree college (id: c-39265)
a.s.n pharmacy college, tenali (id: c-39489)
b.a & k.r college of education (id: c-39269)
b.a & k.r degree college (id: c-32771)
balaji degree college (id: c-32669)
bapatla college of arts & science (id: c-32779)
bapatla engineering college (id: c-42660)
bapatla womens engineering college (id: c-39453)
bapuji college of education (id: c-39240)
b.b.h degree college (id: c-32756)
b.g degree college, sattenapalli (id: c-40608)
bharathi degree college (id: c-32667)
bhashyam college of education (id: c-39234)
b.h.h degree college for women (id: c-32803)
b.m.degree college, p.dornala (id: c-39300)
bmrm jhansi b.ed college (id: c-39237)
b.r college of education (id: c-37221)
b.s.s.b college (id: c-32652)
b.v.s.p.m degree college (id: c-32663)
career degree college (id: c-32782)
chaitanya bharathi degree college, chirala (id: c-42659)
chaitanya college of education (id: c-32763)
chakradhar degree college, macherla (id: c-39308)
chalapathi degree college, lam (id: c-42706)
chalapathi institute of engineering & technology, lam (id: c-39475)
chalapathi institute of pharmaceutical sciences, lam (id: c-39486)
chebrolu hanumaiah college of pharmaceutical sciences (id: c-39452)
chegireddy linga reddy instt of management (id: c-39466)
chirala college of pg studies, chirala (id: c-39457)
chiristian women's college (id: c-32703)
christu jayanthi jubilee college (p.g.) (id: c-32819)
c.i.l.for rural management (id: c-42663)
c.r. college (id: c-32796)
c.s.r. sarma college (id: c-32702)
d.c.r.m degree college (id: c-32662)
d.c.r.m p.g college, mba (id: c-32655)
devathi venkata subbaiah degree college (id: c-32710)
devathi venkata subbiah college of education (id: c-37223)
don bosco college (p.g.) (id: c-32804)
dr. b.r.ambedkar centenary degree college (id: c-32741)
dr.homi jahangir baba degree college (id: c-32813)
dr. jayapradamba degree college (id: c-32776)
dr. k.r.r.m. degree college (id: c-32636)
dr. k.s.p.r college of education (id: c-39242)
dr.k.v.k. sanskrit college (id: c-32692)
d.r.n.s.c.v.s. college (id: c-32790)
dr. samuel george college of pharmaceutical science (id: c-32811)
dr. zakir hussain college of education (id: c-36922)
d.s.govt. degree college for women, ongole (id: c-32817)
erigineni tirupati naidu & lakshmamma degree college (id: c-32786)
fatima college of education (id: c-32654)
g.c.k.v.n. degree college (id: c-32628)
g.c & y p n degree college (id: c-32698)
geetham degree college (id: c-32777)
geethanjali degree college, darsi (id: c-41015)
geethika b.ed college (id: c-39236)
goutham college of education (id: c-39310)
government degree college, cumbum (id: c-39309)
government degree college, yerragondapalem (id: c-39295)
govt. degree college, chebrolu (id: c-32624)
govt. degree college for women, guntur (id: c-32670)
govt. degree college, kanigiri (id: c-32748)
g.r.k degree college, maddipadu (id: c-39306)
g.r.r. & t.p.r. degree college (id: c-42707)
g.s.r. degree college (id: c-41014)
g.v.& a.d.s.l. college of education (id: c-32678)
g.v.r & s college of education (id: c-39228)
g v r & s degree college for women (id: c-32690)
g.v.r.s institute for professional studies (id: c-32718)
g.v.s.m. govt. degree college (id: c-32724)
hazarath ameeruddin college of education (id: c-39272)
hindu college, guntur (id: c-32675)
hindu college of education (id: c-37107)
hindu college of management, guntur (id: c-39487)
hindu college of pharmacy (id: c-32798)
h.m.k.s. & m.g.s. memorial college of education (id: c-32809)
ideal & s.k.c.m degree college (id: c-32830)
indira priyadarsni law college (id: c-32736)
j.c. college of law (id: c-32815)
j.k.c. college (id: c-32701)
j.m.j. college for women (id: c-32812)
j.r.r navodaya degree college (id: c-39268)
kalikamba college of education (id: c-32722)
kalyani mca college, eethamukkala (id: c-42704)
kamala college of education (id: c-39274)
kamala institute of management studies (id: c-44107)
kasturibai college of education (id: c-37209)
k chandrakala college (p.g.) (id: c-32666)
k.c reddy institute of pharmaceutical sciences (id: c-39485)
kc reddy pg college, janamguntapalem (id: c-42658)
k.l.n. sanskrit college (id: c-32794)
k.l.r. degree college (id: c-32764)
konijeti rosaiah siva lakshmi college (id: c-41017)
krishnaveni degree college (id: c-32694)
krishnaveni degree college, vinukonda (id: c-42745)
k r k govt. degree college (id: c-32818)
k.s.r & k.r.k college of education (id: c-39235)
k.s.r.n. degree college, govada (id: c-39316)
k.v.r., k.vr. & m.k.r college (id: c-39270)
lakshmi narsimha college of education (id: c-37212)
magunta subba rami reddy degree college (id: c-32688)
mahatma gandhi college (id: c-32829)
malineni lakshmaiah b.ed college (id: c-39262)
m.a.m college of education (id: c-39245)
m.a.m college of pharmacy, narsaraopet (id: c-39470)
matrusri oriental college (id: c-32821)
m.g college of education (id: c-37222)
mittapalli lakshmaiah & sons degree college, piduguralla (id: c-41008)
m.l. college of mba (id: c-32751)
m.l. college of pharmacy (id: c-32658)
m.m.r degree college, macherla (id: c-39305)
modern degree college (id: c-32674)
morning star college (id: c-32633)
mother theresa womens degree college, karampudi (id: c-42779)
m.s.r. degree college, bapatla (id: c-39315)
m.v.g.r. degree college (id: c-32719)
m.v.r degree college, karlapalem (id: c-39264)
m.v.r.s. viveka degree college (id: c-32721)
nagarjuna college of education (id: c-32641)
nagarjuna institute of management studies, chekurapadu (id: c-39467)
nalanda college of education (id: c-37207)
national minority degree college (id: c-32683)
navya chaitanya college of education (id: c-32758)
n.b.t & n v c college (id: c-32746)
new era college of education (id: c-37106)
nirmala college of pharmacy, mangalagiri (id: c-39481)
n.n.r. & c.l. degree college (id: c-32743)
n.n.s. vidya college of p.g. studies (id: c-32761)
n.n.s vidya degree college (id: c-42657)
n.r.k & k.s.r gupta college of pharmacy (id: c-39469)
n.r.k. & k.s.r. gupta degree college (id: c-32747)
n.t.r memorial degree college (id: c-32645)
omega college of education (id: c-32682)
palnadu college of education, narayanapuram (id: c-39458)
p.b.n. college (id: c-32757)
